CC,Tienda, ADT 15-Ago , ADT 16-Ago , ADT 17-Ago ," USD 
Unicornio Frappuccino ", USD Cake Pop Unicornio 
38487,Madero, 511 , 435 , 404 , 87 , 33 
38494,Pabellon Cuemanco, 438 , 405 , 375 , 84 , 33 
38496,Casa Taxqueña , 439 , 413 , 395 , 73 , 29 
38488,City Center, 299 , 234 , 346 , 36 , 14 
38489,Carretera Cancun Playa del Carmen DT, 518 , 396 , 432 , 75 , 30 
38490,Citadela Chihuahua, 462 , 373 , 443 , 58 , 25 
38491,Gran Terraza Oblatos, 822 , 808 , 680 , 116 , 47 
38492,La Paz Soriana, 341 , 335 , 340 , 62 , 26 
38497,5 de Mayo, 258 , 168 , 341 , 22 , 9 
38498,Montecitos Wtc, 425 , 282 , 398 , 40 , 15 
38499,Pennsylvania, 314 , 304 , 365 , 17 , 8 
38501,Patio Universidad, 353 , 257 , 315 , 37 , 14 
38502,San Marcos DT, 389 , 302 , 306 , 37 , 15 
38504,Insurgentes Wtc, 254 , 163 , 282 , 36 , 13 
38507,Espacio Vista del Valle, 169 , 175 , 181 , 18 , 9 
38503,Galerias Campehe, 437 , 384 , 362 , 69 , 28 
38508,Ampliacion Santa Fe , 259 , 241 , 181 , 23 , 11 
38505,Aeropuerto Tijuana II, 767 , 754 , 710 , 52 , 26 
38506,Altacia, 618 , 600 , 413 , 68 , 30 
38511,Ciudad Jardin ll, 494 , 473 , 342 , 109 , 41 
38512,Garden Santa Fe , 81 , 91 , 233 , 12 , 7 
38509,Paseo Chapultepec, 151 , 114 , 258 , 15 , 7 
38510,Magma Towers, 235 , 192 , 367 , 22 , 9 
38513,San Lorenzo, 178 , 111 , 192 , 16 , 7 
38515,Patio Ecatepec, 402 , 395 , 347 , 100 , 37 
38519,Plaza del Parque Oaxaca, 791 , 631 , 705 , 195 , 78 
38520,Celaya Campestre , 494 , 405 , 484 , 69 , 29 
38516,Quinta Alegria, 239 , 225 , 192 , 32 , 13 
38517,Las Juntas DT, 845 , 782 , 788 , 106 , 42 
38518,Galerias Mazatlan, 453 , 414 , 371 , 42 , 20 
38522,Rio Hudson, 161 , 188 , 288 , 24 , 9 
38525,Tuxtla II DT, 670 , 589 , 651 , 162 , 61 
38521,Aeropuerto Hermosillo , 421 , 457 , 465 , 28 , 14 
38526,City Shops Del Valle, 328 , 221 , 447 , 56 , 24 
38523,Malecon Vallarta II, 255 , 236 , 213 , 25 , 13 
38524,Miguel Aleman DT, 287 , 266 , 325 , 24 , 13 
38527,Camarones, 715 , 662 , 659 , 149 , 58 
38529,Bosques de Aragon, 408 , 385 , 373 , 97 , 35 
38530,Narvarte, 673 , 522 , 615 , 98 , 38 
38532,One o One, 165 , 125 , 346 , 16 , 8 
38534,Patio Santa Fe 1, 329 , 303 , 390 , 34 , 15 
38531,Plaza 505, 466 , 380 , 438 , 51 , 23 
38535,City Center Esmeralda, 682 , 613 , 757 , 60 , 30 
38533,Reynosa, 764 , 650 , 630 , 109 , 48 
38538,Monte Pelvoux, 55 , 28 , 333 , 12 , 5 
38536,Zentralia Cd del Carmen, 489 , 456 , 379 , 84 , 33 
38537,Gomez Palacio, 774 , 633 , 708 , 140 , 55 
38543,Tlalpan Hospitales, 209 , 194 , 331 , 38 , 14 
38539,Plaza Del Valle Mexicali, 450 , 390 , 423 , 72 , 31 
38540,Cd Victoria, 684 , 625 , 658 , 77 , 32 
38544,Picacho Ajusco, 359 , 318 , 305 , 58 , 22 
38542,Tepic Shopping Center, 472 , 408 , 481 , 53 , 24 
38546,Patio Claveria, 496 , 419 , 439 , 70 , 27 
38547,Carr Toluca Mexico KM48, 863 , 771 , 716 , 127 , 49 
38545,Nuevo Sur, 357 , 309 , 314 , 29 , 13 
38549,Galerias Insurgentes, 437 , 354 , 358 , 60 , 23 
38550,Plaza Mallorca, 344 , 271 , 381 , 29 , 14 
38551,Xalapa animas, 503 , 413 , 454 , 92 , 35 
38553,Paseo Interlomas II, 205 , 241 , 144 , 17 , 9 
38554,Forum Buenavista II, 540 , 402 , 369 , 115 , 41 
38552,Plaza Mayor II, 433 , 379 , 263 , 53 , 22 
38555,Capital Reforma, 298 , 245 , 440 , 38 , 15 
38556,Tuxpan 53, 345 , 190 , 355 , 35 , 14 
38557,Rio San Joaquin, 152 , 95 , 402 , 29 , 12 
38558,Roma Sur, 275 , 198 , 239 , 23 , 9 
38559,Antea , 661 , 640 , 405 , 91 , 41 
38560,Renato Leduc, 237 , 168 , 239 , 33 , 13 
38561,Parque Toreo, 443 , 424 , 540 , 70 , 28 
38566,Ventura Puente, 458 , 376 , 483 , 86 , 32 
38567,Aragon II, 384 , 409 , 297 , 73 , 28 
38563,One Silao, 430 , 393 , 368 , 71 , 29 
38564,Plaza QU, 714 , 660 , 648 , 105 , 46 
38565,Blvd Morelos DT, 503 , 396 , 479 , 69 , 27 
38568,Av Stim, 165 , 166 , 180 , 12 , 6 
38569,Plaza Universidad, 394 , 353 , 292 , 55 , 20 
38570,Universidad 767, 238 , 164 , 280 , 27 , 11 
38571,Jolie Place, 200 , 177 , 248 , 19 , 8 
38577,Galerias Hermanos Serdan, 554 , 504 , 398 , 97 , 38 
38578,Galerias Toluca, 683 , 561 , 511 , 140 , 52 
38572,Aeropuerto Mty TA SUE, 593 , 615 , 551 , 56 , 28 
38573,La Lomita, 600 , 428 , 548 , 61 , 28 
38574,Lowes, 429 , 371 , 435 , 37 , 17 
38575,Real Center , 565 , 527 , 382 , 58 , 27 
38576,Aeropuerto Gdl Llegadas Nacionales, 944 , 899 , 938 , 83 , 38 
38579,Division del Norte II, 754 , 642 , 755 , 127 , 49 
38580,Pasaje San Jeronimo, 248 , 250 , 302 , 21 , 9 
